date,precipitation_221,precipitation_231,precipitation_271
2018-10-29,9,5,0
2018-10-30,1,23,12
2018-10-31,10,2,4
2018-11-01,8,2,21
2018-11-02,18,25,5
2018-11-03,15,15,11
2018-11-04,0,0,8
2018-11-05,9,7,23
2018-11-06,25,2,20
2018-11-07,12,22,3
2018-11-08,6,10,25
2018-11-09,6,4,0
2018-11-10,4,2,5
2018-11-11,16,24,1
2018-11-12,6,13,24
2018-11-13,11,3,24
2018-11-14,1,16,7
2018-11-15,11,17,22
2018-11-16,24,5,10
2018-11-17,1,4,17
2018-11-18,8,20,25
2018-11-19,4,18,20
2018-11-20,20,2,24
2018-11-21,18,25,16
2018-11-22,9,4,17
2018-11-23,14,19,13
2018-11-24,6,8,0
2018-11-25,5,25,10
2018-11-26,22,3,8
2018-11-27,7,24,4
2018-11-28,15,20,25
2018-11-29,24,24,5
2018-11-30,2,15,10
2018-12-01,2,5,11
2018-12-02,0,18,15
2018-12-03,22,13,2
2018-12-04,19,0,3
2018-12-05,23,18,25
2018-12-06,20,22,24
2018-12-07,10,8,8
2018-12-08,17,16,21
2018-12-09,12,0,18
2018-12-10,25,10,11
2018-12-11,7,20,9
2018-12-12,7,23,14
2018-12-13,4,15,16
2018-12-14,16,22,18
2018-12-15,13,17,12
2018-12-16,24,16,13
2018-12-17,3,17,11
2018-12-18,4,25,5
2018-12-19,0,9,22
2018-12-20,13,21,6
2018-12-21,18,16,2
2018-12-22,5,3,19
2018-12-23,22,11,18
2018-12-24,21,23,21
2018-12-25,18,24,22
2018-12-26,5,24,10
2018-12-27,22,3,5
2018-12-28,23,24,21
2018-12-29,1,4,9
2018-12-30,6,24,7
2018-12-31,23,22,12
2019-01-01,20,20,18
2019-01-02,4,13,19
2019-01-03,13,24,22
2019-01-04,11,12,15
2019-01-05,6,24,17
2019-01-06,17,0,15
2019-01-07,11,19,4
2019-01-08,2,3,15
2019-01-09,23,15,0
2019-01-10,15,5,15
2019-01-11,23,24,5
2019-01-12,21,17,3
2019-01-13,11,19,1
2019-01-14,23,6,14
2019-01-15,11,5,14
2019-01-16,1,2,1
2019-01-17,21,14,8
2019-01-18,15,4,25
2019-01-19,21,11,1
2019-01-20,2,17,21
2019-01-21,15,23,10
2019-01-22,18,17,5
2019-01-23,0,7,18
2019-01-24,24,23,12
2019-01-25,8,14,7
2019-01-26,0,11,20
2019-01-27,6,6,6
2019-01-28,13,19,19
2019-01-29,12,4,21
2019-01-30,5,4,14
2019-01-31,9,21,1
2019-02-01,25,6,21
2019-02-02,19,16,23
2019-02-03,5,17,4
2019-02-04,17,0,17
2019-02-05,19,1,24
2019-02-06,22,25,22
2019-02-07,0,7,13
2019-02-08,3,0,18
2019-02-09,6,11,14
2019-02-10,2,15,22
2019-02-11,0,16,1
2019-02-12,14,21,21
2019-02-13,18,21,24
2019-02-14,8,25,3
2019-02-15,16,22,7
2019-02-16,2,9,11
2019-02-17,14,4,17
2019-02-18,3,17,18
2019-02-19,13,1,16
2019-02-20,22,13,6
2019-02-21,20,19,12
2019-02-22,8,7,7
2019-02-23,12,7,15
2019-02-24,11,11,9
2019-02-25,21,20,1
2019-02-26,5,19,6
2019-02-27,15,24,22
2019-02-28,25,20,21
2019-03-01,11,5,4
2019-03-02,17,11,5
2019-03-03,23,23,12
2019-03-04,0,10,11
2019-03-05,18,8,20
2019-03-06,4,5,2
2019-03-07,8,14,6
2019-03-08,19,22,25
2019-03-09,5,25,18
2019-03-10,20,16,0
2019-03-11,22,22,0
2019-03-12,12,13,23
2019-03-13,7,25,10
2019-03-14,17,21,14
2019-03-15,10,18,22
2019-03-16,20,6,25
2019-03-17,17,5,15
2019-03-18,18,4,20
2019-03-19,0,11,17
2019-03-20,16,13,17
2019-03-21,0,9,16
2019-03-22,19,24,17
2019-03-23,3,23,25
2019-03-24,18,18,22
2019-03-25,5,18,2
2019-03-26,6,21,3
2019-03-27,6,19,22
2019-03-28,7,13,18
2019-03-29,2,24,16
2019-03-30,17,19,16
2019-03-31,2,8,14
2019-04-01,12,14,11
2019-04-02,6,21,4
2019-04-03,14,7,7
2019-04-04,23,6,0
2019-04-05,15,8,21
2019-04-06,18,12,15
2019-04-07,25,25,19
2019-04-08,20,2,23
2019-04-09,23,8,13
2019-04-10,15,3,10
2019-04-11,2,19,1
2019-04-12,12,9,3
2019-04-13,20,22,3
2019-04-14,23,3,22
2019-04-15,1,22,11
2019-04-16,20,19,3
2019-04-17,13,5,18
2019-04-18,23,8,22
2019-04-19,6,12,19
2019-04-20,4,5,13
2019-04-21,21,7,13
2019-04-22,10,23,4
2019-04-23,8,10,16
2019-04-24,0,23,1
2019-04-25,12,25,5
2019-04-26,10,14,5
